point_no,tag,dataset,measured_at,iteration,au,ag,peg,ctab,cit,pvp,ascorb,teos,saxs1,saxs2,uv1,uv2,sub_min,sub_neg_pct,q1a_used,q1b_used,q2a_used,q2b_used,sample_tiff_dir,buffer_tiff_dir,subtracted_file,uv_file,integrator_dir,exclude_from_training,outlier_reason,notes
1,IHS_10_cell,IHS,,,3.609143531966552,0.0,2.2883348235850964,1.3681122585302024,3.154056974808387,5.249380172749901,4.330972238359862,0.0,0.4578978293768656,-2.037277323921613,,,-0.0229386545223787,22.6,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_10_cell/saxs/subtracted.dat,data/training/IHS_10_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
2,IHS_11_cell,IHS,,,4.223994231687128,0.0,2.052381562076201,1.28254546764191,3.19933736626076,4.172948294309447,5.0687930780245525,0.0,0.2841582426413191,-2.405359647018738,,,-0.0289089036170259,21.1,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_11_cell/saxs/subtracted.dat,data/training/IHS_11_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
3,IHS_12_cell,IHS,,,6.996347000090635,0.0,0.1722004107519453,0.3446837040716849,1.6762162329632413,2.4149362520137307,8.395616400108763,0.0,-0.0560230331032943,-3.547695461324115,,,-0.044093693673508,16.7,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_12_cell/saxs/subtracted.dat,data/training/IHS_12_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
4,IHS_13_cell,IHS,,,6.470931795395873,0.0,0.7818459756388904,1.985982127343946,1.939112250834196,1.0570096963120472,7.765118154475047,0.0,-0.0583654734606735,-4.002035042759963,,,-0.046266297398017,16.7,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_13_cell/saxs/subtracted.dat,data/training/IHS_13_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
5,IHS_14_cell,IHS,,,4.752971666610295,0.0,1.0323921659807107,2.221614574579416,3.1750452275897008,3.114410365307525,5.703565999932353,0.0,0.3192259271364799,-2.5079292554487105,,,-0.017264521479351,9.7,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_14_cell/saxs/subtracted.dat,data/training/IHS_14_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
6,IHS_15_cell,IHS,,,5.975096996701593,0.0,2.3912640084715333,3.1859444126511187,1.1669477766727012,0.1106304094611441,7.170116396041911,0.0,0.210220978634817,-2.8755287311007534,,,-0.0184911778914264,20.6,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_15_cell/saxs/subtracted.dat,data/training/IHS_15_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
7,IHS_16_cell,IHS,,,6.126698641260909,0.0,1.686091152732492,0.1729587892215514,1.3338664216923677,3.3283466255795915,7.35203836951309,0.0,0.1357968319395696,-3.1267377860316,,,-0.0243236084419883,12.6,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_16_cell/saxs/subtracted.dat,data/training/IHS_16_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
8,IHS_24_cell,IHS,,,5.533145822027311,0.0,3.17755136924933,1.4663774132244247,1.675020139973754,1.5081302690924063,6.639774986432774,0.0,0.0682757972294063,-3.2879212501974227,,,-0.0226362460973881,22.3,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_24_cell/saxs/subtracted.dat,data/training/IHS_24_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
9,IHS_26_cell,IHS,,,5.296557397253899,0.0,1.5100431429683692,1.360613275256053,3.595623095475016,1.881294212341984,6.355868876704679,0.0,0.1693553543701974,-2.916655384364427,,,-0.0178243120821369,20.6,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_26_cell/saxs/subtracted.dat,data/training/IHS_26_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
10,IHS_27_cell,IHS,,,6.830478328172656,0.0,1.714027578632943,0.8223304542637968,0.6606974595633893,1.7758921855600305,8.196573993807187,0.0,-0.1811864068202218,-4.214897590076617,,,-0.0200930775138532,19.3,0.4858224397993894,0.7497917614826864,0.0770957481607359,0.7497917614826864,,,data/training/IHS_27_cell/saxs/subtracted.dat,data/training/IHS_27_cell/uv/uv_spectrum.txt,,False,,imported from multispectral_au_reconstructed
